APINumber,DisclosureId,date_entered,FF_report_date,Blog_date,FF_updates,Resolved,post_link
42329449150000,,04/15/24,04/15/24,05/26/24,,,https://open-ff.org/2024/05/26/cog-operating-sand-data-error/
42329449130000,,04/15/24,04/15/24,05/26/24,,,https://open-ff.org/2024/05/26/cog-operating-sand-data-error/
42301356020000,,04/15/24,04/15/24,05/26/24,,,https://open-ff.org/2024/05/26/cog-operating-sand-data-error/
42329452620000,,04/15/24,04/15/24,05/26/24,,,https://open-ff.org/2024/05/26/cog-operating-sand-data-error/
30025471720000,,04/15/24,04/15/24,05/26/24,,,https://open-ff.org/2024/05/26/cog-operating-sand-data-error/
34067215720000,,07/10/24,,,,,ohio_sand
34067215690000,,07/10/24,,,,,ohio_sand
34067215700000,,07/10/24,,,,,ohio_sand
34067215710000,,07/10/24,,,,,ohio_sand
34081208130000,,07/10/24,,,,,ohio_sand
34081208110000,,07/10/24,,,,,ohio_sand
34081208120000,,07/10/24,,,,,ohio_sand
34019227960000,,07/10/24,,,,,ohio_sand
34019227970000,,07/10/24,,,,,ohio_sand
34019227780000,,07/10/24,,,,,ohio_sand
34019227940000,,07/10/24,,,,,ohio_sand
34019227950000,,07/10/24,,,,,ohio_sand
34067216990000,,07/10/24,,,,,ohio_sand
34067217010000,,07/10/24,,,,,ohio_sand
34067216800000,,07/10/24,,,,,ohio_sand
34067217000000,,07/10/24,,,,,ohio_sand
34019228060000,,07/10/24,,,,,ohio_sand
34019228070000,,07/10/24,,,,,ohio_sand
34019228090000,,07/10/24,,,,,ohio_sand
34019228080000,,07/10/24,,,,,ohio_sand
34067217250000,,07/10/24,,,,,ohio_sand
34029219860000,,07/10/24,,,,,ohio_sand
30015472040000 ,,07/22/24,,,,,https://open-ff.org/2024/07/24/occidental-oil-and-gas-massive-water-use-reported/
30015471860000 ,,07/22/24,,,,,https://open-ff.org/2024/07/24/occidental-oil-and-gas-massive-water-use-reported/
30015472030000 ,,07/22/24,,,,,https://open-ff.org/2024/07/24/occidental-oil-and-gas-massive-water-use-reported/
30015471870000,,07/22/24,,,,,https://open-ff.org/2024/07/24/occidental-oil-and-gas-massive-water-use-reported/
17069205030000,,07/25/24,,,,,southwestern_sand
17081218240000,,07/25/24,,,,,southwestern_sand
17081218030000,,07/25/24,,,,,southwestern_sand
17081218510000,,07/25/24,,,,,southwestern_sand
17081276100000,,07/25/24,,,,,southwestern_sand
17081218500000,,07/25/24,,,,,southwestern_sand
17031270750000,,07/25/24,,,,,southwestern_sand
17085226390000,,07/25/24,,,,,southwestern_sand
17085226110000,,07/25/24,,,,,southwestern_sand
17031270760000,,07/25/24,,,,,southwestern_sand
17081217600000,,07/25/24,,,,,southwestern_sand
17081218130000,,07/25/24,,,,,southwestern_sand
17085226180000,,07/25/24,,,,,southwestern_sand
17031272990000,,07/25/24,,,,,southwestern_sand
17085226120000,,07/25/24,,,,,southwestern_sand
17081217910000,,07/25/24,,,,,southwestern_sand
17081218260000,,07/25/24,,,,,southwestern_sand
17031272650000,,07/25/24,,,,,southwestern_sand
17081218040000,,07/25/24,,,,,southwestern_sand
17085226100000,,07/25/24,,,,,southwestern_sand
17081217740000,,07/25/24,,,,,southwestern_sand
17031269730000,,07/25/24,,,,,southwestern_sand
17031276290000,,07/25/24,,,,,southwestern_sand
17031270730000,,07/25/24,,,,,southwestern_sand
17031272970000,,07/25/24,,,,,southwestern_sand
17031270110000,,07/25/24,,,,,southwestern_sand
17069205010000,,07/25/24,,,,,southwestern_sand
17081217730000,,07/25/24,,,,,southwestern_sand
17031272570000,,07/25/24,,,,,southwestern_sand
17085226170000,,07/25/24,,,,,southwestern_sand
17069205200000,,07/25/24,,,,,southwestern_sand
17085226380000,,07/25/24,,,,,southwestern_sand
17031271080000,,07/25/24,,,,,southwestern_sand
17069205210000,,07/25/24,,,,,southwestern_sand
17031271070000,,07/25/24,,,,,southwestern_sand
17031272640000,,07/25/24,,,,,southwestern_sand
17081217750000,,07/25/24,,,,,southwestern_sand
17031272580000,,07/25/24,,,,,southwestern_sand
17081218120000,,07/25/24,,,,,southwestern_sand
17031272980000,,07/25/24,,,,,southwestern_sand
17031272700000,,07/25/24,,,,,southwestern_sand
17031270720000,,07/25/24,,,,,southwestern_sand
17085226160000,,07/25/24,,,,,southwestern_sand
17081217900000,,07/25/24,,,,,southwestern_sand
